1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Moving Backwards,Orthodox,Hooks,Right Leg Kick,RightStraightHi + LeftHookHi + RightHookHi,Body Kicks,Left Hook to Head,LeftJabLo + LeftJabHi + RightHookHi,Crosses,Right Hook to Head,No Data,0,0,25%,0,UFC,0,2.8,0,3,0,0,55%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4575873.png,88.5%,66.0%,11,0,1.7,1.9,0,0.7,0,5.1%,0,52%,0.0%,13.0%,2.2%,8.0%,2.2%,2.2%,0.0%,1.4%,0.0%,0,20%,0,27,0,0,0,0,0,0,0,0,39.0%,41.7%,11,2.6,6.7,0-0,1-0,0-2,10.1%,0,48%,0.7%,12.3%,0.7%,0.7%,0.0%,15.2%,0.0%,9.4%,1.4%,27%,27.5%,32%,32.4%,40%,40.1%,0%,0.0%,0%,0.0%,7,1.9,14,1,25,5,8,0,13,0,53.2%,52.9%,22,5,9.3,0,2.8,1.1,0,1.2,7,0,14,10,16,0,4,0,76%,38.1%,,0,0,0,0.9,0.6,0.9,3.7,1.1,0,0,0.0%,0.0%,2.9%,0.0%,12.3%,2.8,6480bbb259b391b3ca0a1950,0%,0,38.4,BradRiddellQuake,Brad Riddell,Male,0,13%,"5'8""",1.3,55%,54%,4,Quake,118.6,"Christchurch, New Zealand",2.2,71,https://www.fightstats.xyz/search?q=Brad Riddell,87%,45%,46%,3.5,3,Lightweight,10
Moving Backwards,Orthodox,Crosses,Left Jab to Head,No Data,Hooks,Right Hook to Head,No Data,Jabs,Right Body Kick,No Data,0,0,29%,0,UFC,0,0,0,2,0,0,62%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-04/TAVARES_BRAD_04-22.png,52.1%,63.0%,1,0,1.4,2.7,1.4,0.7,0,10.6%,0,57%,1.5%,7.6%,0.0%,24.2%,0.0%,1.5%,0.0%,0.0%,0.0%,0,10%,0,18,0,0,0,0,0,0,0,0,31.5%,41.4%,-24,2.3,7.2,0-0,0-0,0-2,15.2%,0,43%,1.5%,16.7%,0.0%,0.0%,0.0%,7.6%,3.0%,4.5%,0.0%,39%,38.7%,25%,25.3%,36%,36.0%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,37.6%,51.2%,-23,3.9,10.3,0,0,0.7,0,1.2,4,1,3,6,0,0,2,0,100%,0%,,0,0,0,1.4,0.7,0,2.8,0.7,0,0,1.5%,0.0%,0.0%,1.5%,3.0%,0,6480bbb359b391b3ca0a1951,1%,0,28.5,BradTavares,Brad Tavares,Male,0,4%,"5'11""",1.3,49%,31%,8,,90.3,United States,3.4,74,https://www.fightstats.xyz/search?q=Brad Tavares,94%,51%,69%,4.7,2,Middleweight,19
Center Octagon,Orthodox,Jabs,Left Jab to Head,No Data,Hooks,Left Hook to Head,No Data,Leg Kicks,Right Straight to Head,No Data,0,1,11%,0,UFC,0,0.2,0,8,0,0,83%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-01/MORENO_BRANDON_BELT.png,53.1%,62.2%,-60,0,0.4,0.8,0.6,0.3,0,1.5%,0,81%,1.9%,16.4%,3.1%,29.1%,0.3%,0.5%,0.7%,0.0%,0.0%,0,6%,0,125,0,0,0,0,0,0,0,0,38.4%,39.2%,149,3.1,8.1,3-0,0-0,2-1,0.2%,0,19%,0.2%,1.9%,0.9%,0.0%,0.0%,4.5%,2.2%,6.5%,0.3%,28%,28.5%,27%,27.0%,32%,31.8%,8%,7.6%,5%,5.1%,26,0.2,0,0,0,0,0,0,0,0,45.9%,52.5%,89,4.9,10.6,0,1.2,0.7,0.8,1.3,0,0,0,0,0,0,0,0,92%,66.7%,,0,0.8,0,0.6,0.4,0.6,0.6,0.6,0.2,0.4,0.2%,1.2%,1.4%,2.9%,24.1%,0.2,6480bbb359b391b3ca0a1952,1%,2,35.8,BrandonMorenoThe Assassin Baby,Brandon Moreno,Male,3,26%,"5'7""",0.9,41%,45%,6,The Assassin Baby,110.2,"Tijuana, Mexico",1.9,70,https://www.fightstats.xyz/search?q=Brandon Moreno,73%,59%,55%,2.8,5,Flyweight,21
Center Octagon,Switch,Jabs,Right Jab to Head,No Data,Leg Kicks,Right Leg Kick,No Data,Hooks,Right Hook to Head,No Data,0,0.5,18%,0,UFC,0,0.5,0,3,0,0,62%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-07/ORTEGA_BRIAN_07-16.png,70.8%,57.5%,-7,0,1.2,1.6,0.5,0.5,0,5.6%,0,39%,0.5%,5.1%,0.0%,8.1%,1.5%,3.0%,0.5%,6.1%,2.5%,0,20%,0,54,20,4,32,57,39,1,26,3,32.9%,39.7%,-31,2.3,6.9,1-2,0-0,0-0,4.5%,0,61%,1.5%,10.1%,1.0%,18.7%,0.5%,16.7%,0.0%,4.5%,0.0%,25%,24.9%,21%,20.7%,19%,18.9%,14%,13.8%,22%,21.7%,11,0,0,0,0,0,0,0,0,0,41.5%,47.4%,-38,3.7,8.9,0,0.5,0.7,1.9,1.2,0,0,0,0,0,0,0,0,0%,23.5%,,0.5,0,0,0,0.5,0,0,0.6,0,0,1.0%,1.0%,3.0%,0.0%,4.5%,0.5,6480bbb459b391b3ca0a1953,2%,0,28.6,BrianOrtegaT-City,Brian Ortega,Male,1,5%,"5'9""",1.3,28%,38%,3,T-City,90,"Carson, United States",2.8,69,https://www.fightstats.xyz/search?q=Brian Ortega,93%,72%,62%,4.1,2,Featherweight,15
Pressuring,Switch,Hooks,Left Straight to Head,No Data,Jabs,Right Hook to Head,No Data,Crosses,Left Hook to Head,No Data,0,1.4,10%,0,UFC,0,1.4,0,2,0,0,77%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4333158.png,85.7%,63.0%,-6,0,1,1.2,1.4,0.7,0,5.0%,0,51%,0.0%,13.0%,2.0%,6.0%,0.0%,4.0%,0.0%,18.0%,0.0%,0,13%,0,18,2,0,3,3,1,0,6,0,50.3%,41.4%,-30,4.7,9.3,1-1,0-0,0-0,0.0%,0,49%,0.0%,14.0%,3.0%,5.0%,0.0%,9.0%,4.0%,10.0%,0.0%,34%,34.4%,37%,36.9%,29%,28.7%,0%,0.0%,0%,0.0%,4,1.4,0,0,0,0,0,0,0,0,55.6%,51.2%,-36,6.1,10.9,0,1.4,0.7,0,1.2,0,0,0,0,0,0,0,0,0%,36.4%,,0,0,1.4,0,0.7,0,2.8,0.7,0,0,0.0%,6.0%,0.0%,0.0%,1.0%,1.4,6480bbb459b391b3ca0a1954,6%,0,47.6,BrunoSilvaBulldog,Bruno Silva,Male,0,1%,"6'0""",1.3,48%,46%,5,Bulldog,150.1,Brazil,5.9,65,https://www.fightstats.xyz/search?q=Bruno Silva,94%,52%,54%,7.3,2,Middleweight,13
Moving Backwards,Southpaw,Hooks,Left Straight to Head,LeftHookHi + RightHookHi + LeftHookHi,Jabs,Right Hook to Head,RightJabHi + RightLegKick + RightJabHi,Body Kicks,Right Jab to Head,No Data,0,0,15%,0,UFC,0,0,0,6,0,0,68%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3111927.png,64.9%,63.9%,4,0,1,1.5,0.4,0.7,0,1.3%,0,52%,0.0%,8.3%,3.7%,0.5%,0.0%,5.9%,0.3%,13.6%,1.1%,0,17%,0,63,0,0,0,0,0,0,0,0,36.7%,36.6%,31,4,10.8,1-3,1-1,0-0,0.3%,0,48%,0.0%,10.4%,2.4%,9.1%,0.5%,8.8%,0.0%,1.3%,0.3%,40%,39.6%,36%,36.4%,24%,24.0%,0%,0.0%,0%,0.0%,14,0,0,0,0,0,0,0,0,0,45.7%,47.7%,35,6.5,14.2,0,2.8,1,1.6,1,0,0,0,0,0,0,0,0,70%,0%,,0,0.8,2.4,1.6,0.6,1.2,1.2,1,0,2.4,3.2%,9.3%,5.6%,5.6%,8.5%,0,6480bbb559b391b3ca0a1955,11%,0,44.2,BryanBarberenaBam Bam,Bryan Barberena,Male,0,13%,"6'0""",0.9,49%,48%,10,Bam Bam,136.3,"Montclair, United States",2.7,72,https://www.fightstats.xyz/search?q=Bryan Barberena,76%,51%,52%,3.6,6,Welterweight,18
Center Octagon,Switch,Hooks,Right Jab to Head,No Data,Jabs,Left Straight to Head,No Data,Leg Kicks,Left Jab to Head,No Data,0,1.7,19%,0,UFC,0,2.7,0,6,0,0,76%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-12/MITCHELL_BRYCE_12-10.png,44.3%,57.5%,2,0,0.4,0.8,0.7,0.5,0,1.9%,0,51%,0.2%,1.4%,0.2%,2.3%,0.0%,1.0%,0.4%,2.7%,0.0%,0,5%,0,73,0,0,0,0,0,0,0,0,78.1%,39.7%,9,5.9,7.5,4-1,0-0,1-0,2.1%,0,49%,0.0%,1.2%,0.2%,2.7%,0.2%,0.4%,1.4%,0.4%,0.2%,30%,29.8%,39%,39.1%,31%,31.0%,0%,0.0%,0%,0.0%,15,2.1,0,0,0,0,0,0,0,0,80.4%,47.4%,11,11.2,14,0,0.7,0.7,3.8,1.2,0,0,0,0,0,0,0,0,49%,61.4%,,0,0.3,0.7,0.7,0.5,1,0,0.6,0,0,0.0%,0.6%,6.4%,23.7%,50.4%,2.7,6480bbb559b391b3ca0a1956,0%,0,50,BryceMitchellThug Nasty,Bryce Mitchell,Male,6,44%,"5'9""",0.3,37%,44%,2,Thug Nasty,151.2,"Texarkana, United States",0.8,70,https://www.fightstats.xyz/search?q=Bryce Mitchell,56%,63%,56%,1.2,0,Featherweight,15
Center Octagon,Orthodox,Jabs,Left Jab to Head,RightStraightHi + LeftJabHi + LeftJabHi,Hooks,Right Straight to Head,No Data,Crosses,Right Leg Kick,No Data,0,0,8%,0,UFC,0,0,0,3,0,0,86%,0,0,0,0,0,https://a.espncdn.com/i/headshots/mma/players/full/3164030.png,46.6%,57.5%,-36,0,0.5,1.1,0,0.5,0,0.0%,0,81%,0.0%,5.0%,0.0%,58.3%,2.9%,0.0%,0.0%,0.0%,0.0%,0,6%,0,55,0,0,0,0,0,0,0,0,32.7%,39.7%,-156,3.6,11.1,0-2,0-1,0-0,4.5%,0,19%,0.0%,2.9%,0.0%,0.4%,0.0%,6.6%,1.7%,8.7%,0.0%,21%,21.2%,16%,16.2%,19%,18.5%,25%,24.7%,19%,19.3%,12,0,0,0,0,0,0,0,0,0,33.8%,47.4%,-192,4.1,12.2,0,0.5,0.7,0,1.2,0,0,0,0,0,0,0,0,100%,0.0%,,0,0,0,0,0.5,0,1.8,0.6,0,0,0.0%,0.0%,9.1%,0.0%,0.0%,0,6480bbb559b391b3ca0a1957,0%,0,31.4,CalvinKattarThe Boston Finisher,Calvin Kattar,Male,1,0%,"5'11""",1.1,12%,38%,7,The Boston Finisher,102.2,"Methuen, United States",6.5,72,https://www.fightstats.xyz/search?q=Calvin Kattar,100%,88%,62%,7.6,2,Featherweight,23
Center Octagon,Orthodox,Jabs,Left Jab to Head,RightHookHi + LeftJabHi + RightHookHi,Hooks,Right Hook to Head,LeftHookHi + RightStraightHi + LeftJabHi,Leg Kicks,Right Straight to Head,LeftJabHi + RightStraightHi + LeftJabHi + RightStraightHi,0,0,23%,0,UFC,0,0,0,2,0,0,75%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-06/67562%252Fprofile-galery%252Fprofile-picture%252FFELIPE_CARLOS_06-12.png?VersionId=null,70.0%,72.4%,-20,0,0.2,0.3,0,0.7,0,0.0%,0,52%,0.0%,8.5%,4.7%,34.1%,1.6%,0.0%,0.0%,0.0%,0.0%,0,1%,0,30,0,0,10,34,0,2,4,1,44.3%,41.8%,32,4.2,9.4,0-1,1-0,0-0,3.9%,0,48%,0.0%,16.3%,7.0%,0.0%,0.0%,1.6%,3.1%,10.9%,5.4%,28%,28.3%,46%,45.7%,26%,26.1%,0%,0.0%,0%,0.0%,6,0,5,0,37,12,2,2,17,5,45.6%,54.8%,12,4.5,9.8,0,0.8,1,0,0.7,0,0,0,0,0,0,0,0,60%,0.0%,,0,0.8,0.8,0,0.8,0.8,0,1,0,0.8,0.8%,0.0%,1.6%,0.0%,0.8%,0,6480bbb659b391b3ca0a1958,1%,0,32,CarlosFelipeBoi,Carlos Felipe,Male,0,1%,"6'0""",0.9,43%,38%,2,Boi,99.9,"Feira De Santana, Brazil",3.1,75,https://www.fightstats.xyz/search?q=Carlos Felipe,99%,57%,62%,4,2,Heavyweight,11
Center Octagon,Switch,Jabs,Left Straight to Head,RightJabHi + RightHookHi + LeftStraightHi,Crosses,Left Body Kick,RightHookHi + RightJabHi + LeftStraightHi,Hooks,Left Leg Kick,RightJabHi + LeftStraightHi + LeftBodyKick,0,0,25%,0,UFC,0,0.8,0,2,0,0,54%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4030197.png,42.0%,63.9%,-7,0,1.2,2.9,0,0.7,0,17.9%,0,56%,1.1%,5.3%,0.0%,1.1%,0.0%,16.8%,0.0%,18.9%,3.2%,0,21%,0,30,17,1,16,7,19,0,25,0,23.3%,33.4%,-27,1.8,7.9,0-2,0-0,0-0,0.0%,0,44%,0.0%,11.6%,0.0%,6.3%,0.0%,3.2%,0.0%,4.2%,0.0%,36%,36.0%,37%,37.0%,27%,27.0%,0%,0.0%,0%,0.0%,6,0,0,0,0,0,0,0,0,0,30.4%,45.2%,-34,3.4,11.2,0,0,0.7,0.8,1.1,0,0,0,0,0,0,0,0,62%,25.0%,,0,3.3,1.7,0,0.6,0,0,0.7,0,2.5,3.2%,4.2%,0.0%,0.0%,3.2%,0.8,6480bbb659b391b3ca0a1959,7%,1,23.3,CaseyKenney,Casey Kenney,Male,0,3%,"5'7""",1.5,33%,32%,4,,73.9,N/A,2.5,70,https://www.fightstats.xyz/search?q=Casey Kenney,90%,67%,68%,4,2,Bantamweight,16
Ground-Top,Orthodox,Jabs,Left Jab to Head,No Data,Crosses,Right Straight to Head,No Data,Hooks,Left Hook to Head,No Data,0,1.1,7%,0,UFC,0,2.3,0,4,0,0,84%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-03/ONEILL_CASEY_03-18.png,50.9%,62.2%,12,0,0.6,1.2,0,0.3,0,0.5%,0,54%,0.5%,2.7%,0.0%,12.5%,0.2%,0.9%,0.0%,0.0%,0.0%,0,9%,0,44,5,3,25,67,18,2,61,1,38.1%,39.2%,78,3.8,10,3-0,1-0,0-0,0.5%,0,46%,0.0%,1.6%,0.2%,0.2%,0.0%,2.3%,0.4%,10.4%,0.5%,22%,22.2%,57%,57.2%,21%,20.6%,0%,0.0%,0%,0.0%,10,0.6,1,0,0,5,0,0,0,1,61.8%,52.5%,90,12.8,20.7,0,0,0.7,2.8,1.3,0,0,0,0,0,0,0,0,57%,64.7%,,0,0.6,0.6,0,0.4,1.1,0,0.6,0,0,0.4%,0.5%,0.4%,3.2%,62.0%,2.3,6480bbb759b391b3ca0a195a,1%,0,59.9,"CaseyO'NeillKing","Casey O'neill",Female,3,65%,"5'6""",0.3,17%,14%,1,King,182,"Irvine, United Kingdom",1.9,69,"https://www.fightstats.xyz/search?q=Casey O'neill",34%,83%,86%,2.2,1,Womens Flyweight,9
Center Octagon,Orthodox,Jabs,Left Jab to Head,No Data,Leg Kicks,Right Leg Kick,No Data,Hooks,Left Hook to Head,No Data,0,0,14%,0,UFC,0,0,0,2,0,0,65%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2501685.png,67.5%,57.5%,-58,0,0.7,1,0,0.5,0,1.0%,0,60%,0.0%,15.5%,3.1%,21.6%,1.0%,0.0%,0.0%,2.1%,0.0%,0,20%,0,40,0,0,0,0,0,0,0,0,27.7%,39.7%,-62,1.8,6.4,0-0,0-0,0-2,6.2%,0,40%,0.0%,15.5%,1.0%,0.0%,0.0%,20.6%,0.0%,7.2%,1.0%,26%,25.7%,21%,20.8%,26%,25.7%,13%,12.9%,15%,14.9%,9,0,0,0,0,0,0,0,0,0,33.9%,47.4%,-120,2.5,7.5,0,0,0.7,0,1.2,0,0,0,0,0,0,0,0,70%,0%,,0,1.2,1.2,1.9,0.5,0,2.5,0.6,0,1.9,0.0%,1.0%,0.0%,0.0%,3.1%,0,6480bbb759b391b3ca0a195b,1%,0,16.4,ChanSung JungThe Korean Zombie,Chan Sung Jung,Male,0,3%,"5'9""",2.1,52%,36%,0,The Korean Zombie,54.7,,3.3,,https://www.fightstats.xyz/search?q=Chan Sung Jung,96%,48%,64%,5.4,2,Featherweight,0
Ground-Top,Orthodox,Crosses,Left Jab to Head,RightStraightHi + RightHookHi + RightHookHi,Hooks,Right Straight to Head,RightStraightHi + LeftHookHi + LeftJabHi,Jabs,Right Body Kick,No Data,0,1.8,19%,0,UFC,0,1.1,0,9,0,0,70%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-10/OLIVEIRA_CHARLES_10-22.png,74.6%,66.0%,62,0,1.2,1.6,1.1,0.7,0,2.9%,0,46%,0.8%,5.5%,0.3%,11.0%,0.0%,1.0%,0.3%,0.0%,0.0%,0,11%,0,71,0,0,0,0,0,0,0,0,53.6%,41.7%,2,2.2,4.1,4-0,2-1,2-0,9.4%,0,54%,1.8%,4.2%,0.0%,0.8%,0.0%,6.3%,1.0%,9.9%,0.3%,55%,54.9%,40%,40.0%,5%,5.1%,0%,0.0%,0%,0.0%,19,1.1,0,0,0,0,0,0,0,0,67.5%,52.9%,64,5.5,8.1,0,1.8,1.1,7.4,1.2,0,0,0,0,0,0,0,0,36%,77.8%,,0,1.1,0.4,1.4,0.6,0,1.8,1.1,0,0.4,0.3%,1.3%,6.0%,11.2%,25.8%,1.1,6480bbb759b391b3ca0a195c,2%,0,45.5,CharlesOliveirado Bronx,Charles Oliveira,Male,6,37%,"5'10""",0.3,34%,43%,9,do Bronx,139.2,"State Of São Paulo, Brazil",2.1,74,https://www.fightstats.xyz/search?q=Charles Oliveira,62%,66%,57%,2.4,3,Lightweight,33
Center Octagon,Orthodox,Jabs,Right Straight to Head,No Data,Hooks,Left Jab to Head,No Data,Leg Kicks,Right Hook to Head,No Data,0,0,11%,0,UFC,0,0,0,4,0,0,77%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-12/DAUKAUS_CHRIS_12-10.png,60.0%,72.4%,-6,0,0.5,0.8,4.2,0.7,0,0.0%,0,34%,0.0%,5.6%,1.9%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0,11%,0,12,0,0,12,9,6,0,8,0,46.5%,41.8%,0,3.9,8.4,1-2,0-0,0-1,0.0%,0,66%,0.0%,16.7%,0.0%,1.9%,0.0%,11.1%,0.0%,25.9%,1.9%,98%,98.3%,2%,1.7%,0%,0.0%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,51.6%,54.8%,-6,5.2,10.2,0,0,1,0,0.7,0,0,0,1,0,0,7,0,0%,0%,,0,0,0,6.2,0.8,0,0,1,0,0,7.4%,9.3%,0.0%,0.0%,1.9%,0,6480bbb859b391b3ca0a195d,14%,0,34.1,ChrisDaukaus,Chris Daukaus,Male,0,2%,"6'2""",1,34%,43%,6,,106.5,"Philadelphia, United States",3.2,76,https://www.fightstats.xyz/search?q=Chris Daukaus,84%,66%,57%,4.2,4,Heavyweight,12
Pressuring,Switch,Leg Kicks,Right Jab to Head,LeftLegKick + RightJabHi + RightJabHi,Hooks,Right Leg Kick,RightLegKick + RightJabHi + RightJabHi,Jabs,Right Body Kick,No Data,0,0.5,22%,0,UFC,0,0.5,0,10,0,0,53%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-09/GANE_CYRIL_09-03.png,79.7%,72.4%,178,0,2.2,2.8,0.9,0.7,0,6.3%,0,31%,1.3%,3.9%,0.6%,7.0%,0.3%,7.4%,0.1%,4.1%,1.1%,0,24%,0,145,0,0,0,0,0,0,0,0,57.6%,41.8%,284,3.2,5.5,5-1,0-0,3-1,8.4%,0,69%,0.5%,6.5%,0.9%,21.3%,3.0%,17.0%,1.4%,2.0%,0.8%,27%,27.1%,27%,27.5%,28%,28.3%,10%,9.6%,7%,7.4%,31,0.3,0,0,0,0,0,0,0,0,65.9%,54.8%,462,5.7,8.6,0,2.1,1,1,0.7,0,0,0,0,0,0,0,0,74%,45.8%,,0,0.5,0.2,0.2,0.8,0.2,0.2,1,0,0.2,0.4%,0.8%,1.8%,0.1%,3.1%,0.5,6480bbb859b391b3ca0a195e,1%,0,45.2,CirylGaneBon Gamin,Ciryl Gane,Male,0,3%,"6'4""",1,25%,44%,2,Bon Gamin,137.8,"La Roche-Sur-Yon, Vendée, France",1.2,81,https://www.fightstats.xyz/search?q=Ciryl Gane,96%,75%,56%,2.2,10,Heavyweight,11
Center Octagon,Switch,Jabs,Right Jab to Head,No Data,Hooks,Left Straight to Head,No Data,Crosses,Left Hook to Head,No Data,0,1.5,14%,0,UFC,0,1.2,0,5,0,0,79%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3088810.png,61.9%,63.9%,38,0,0.9,1.4,0,0.7,0,4.2%,0,48%,0.8%,12.0%,0.2%,0.6%,0.0%,2.8%,1.1%,12.5%,0.1%,0,6%,0,120,27,1,40,21,12,4,21,4,38.1%,36.6%,160,4.6,12.1,1-1,1-0,1-1,2.0%,0,52%,0.8%,6.0%,0.2%,21.0%,0.4%,2.5%,0.2%,0.6%,0.0%,16%,16.2%,18%,17.8%,25%,24.5%,24%,24.0%,18%,17.5%,25,0.8,0,0,0,0,0,0,0,0,46.7%,47.7%,198,7.5,16.1,0,0.8,1,1.5,1,10,3,65,67,9,7,43,8,62%,35.4%,,0,0,0.2,0.8,0.6,0.4,1,1,0,0,4.1%,4.0%,1.2%,7.1%,15.4%,1.2,6480bbb959b391b3ca0a195f,7%,0,54.1,ColbyCovingtonChaos,Colby Covington,Male,4,20%,"5'11""",0.6,36%,32%,3,Chaos,165.4,United States,2.6,72,https://www.fightstats.xyz/search?q=Colby Covington,73%,64%,68%,3.2,1,Welterweight,17
Center Octagon,Switch,Hooks,Right Jab to Head,No Data,Jabs,Left Jab to Head,No Data,Crosses,Right Leg Kick,No Data,0,0,17%,0,UFC,0,0,0,5,0,0,62%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-09/SANDHAGEN_CORY_09-17.png,76.2%,63.9%,17,0,1.2,1.6,1,0.7,0,5.1%,0,53%,0.9%,2.8%,2.8%,18.9%,0.5%,4.6%,0.0%,6.5%,0.0%,0,21%,0,52,1,0,0,1,1,0,0,0,23.6%,33.4%,28,2.8,12,2-1,0-0,1-1,2.3%,0,47%,0.0%,0.5%,1.8%,19.8%,0.0%,16.6%,0.0%,5.1%,0.5%,39%,39.1%,25%,25.3%,21%,20.9%,8%,7.9%,7%,6.7%,13,0.5,0,0,0,0,0,0,0,0,31.2%,45.2%,45,4.3,13.9,0,0,0.7,0.5,1.1,9,2,13,66,34,0,19,6,68%,4.0%,,0,0,0,0.5,0.6,0.5,0.5,0.7,0,0,2.3%,1.4%,4.6%,0.5%,2.8%,0,6480bbb959b391b3ca0a1960,4%,0,35,CorySandhagenSandman,Cory Sandhagen,Male,0,3%,"5'11""",0.9,13%,47%,4,Sandman,108.1,"Aurora, United States",2.1,70,https://www.fightstats.xyz/search?q=Cory Sandhagen,93%,87%,53%,3,5,Bantamweight,16
