AmericanaWin,AnacondaWin,ArmTriangleWin,BeingClinched,BodyKicksAbsorbed,BulldogWin,CalfSlicerWin,CenterOctagon,CrossesAbsorbed,DEC,DarceWin,EzekielWin,FightsTracked,GogoplataWin,GuillotineWin,HeadKicksAbsorbed,HeelHookWin,HooksAbsorbed,InClinch,JabsAbsorbed,KO,KimuraWin,KneeBarWin,LegKicksAbsorbed,LeglockWin,MinutesTracked,NeckCrankWin,OmoplataWin,OnBottomGround,OnTopGround,OtherSubWin,PushedBackToCage,PushingAgainstCage,RNCWin,RoundsTracked,SUB,StraightArmLockWin,StraightsAbsorbed,SulovStretchWin,TKO,TimesKnockedDown,TimesStunned,TotalBodyKickAttempt,TotalBodyKickMake,TotalCrossAttempt,TotalCrossMake,TotalHeadKickAttempt,TotalHeadKickMake,TotalHookAttempt,TotalHookMake,TotalJabAttempt,TotalJabMake,TotalKnockDowns,TotalLegKickAttempt,TotalLegKickMake,TotalPositionPoints,TotalStraightAttempt,TotalStraightMake,TotalStuns,TotalTDAttempt,TotalTDMake,TotalUppercutAttempt,TotalUppercutMake,TriangleArmBarWin,TriangleWin,TwisterWin,UppercutsAbsorbed,_id,gymCode,gymCountry,gymLoss,gymName,gymState,gymWins,round1StrikesLanded,round2StrikesLanded,round3StrikesLanded,round4StrikesLanded,round5StrikesLanded
0,0,0,0,13,0,0,0,0,1,0,0,3,0,0,1,0,74,0,40,0,0,0,22,0,0,0,0,0,0,0,0,0,0,15,0,0,21,0,1,2,2,40,29,0,0,24,2,326,142,152,40,0,16,12,0,96,28,3,35,10,25,6,0,0,0,10,63997a71bd1b8ffa47b517e4,MMAMasters,USA,1,MMA Masters,Florida,2,64,65,110,143,76
0,0,0,0,55,0,0,0,0,1,0,0,9,0,0,2,0,128,0,125,0,0,0,91,0,0,0,0,0,0,0,0,0,0,31,1,0,52,0,0,2,3,28,19,0,0,6,0,278,112,254,74,1,88,59,0,122,42,1,34,11,25,11,0,0,0,15,63997adb3307e8bc118e396f,NovaUniao,Brazil,7,Nova Uniao,Rio de Janeiro,2,174,140,88,50,16
0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,14,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,2,0,5,1,0,0,2,1,124,58,32,9,0,1,1,0,18,4,0,2,0,2,0,0,0,0,1,639979459a0ebccf3ce57aad,FinneyHIT,USA,1,"Finney's HIT Squad",Illinois,0,26,25,1,0,0
0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,3,0,110,0,138,0,0,0,65,0,0,0,0,0,0,0,0,0,0,13,0,0,101,0,0,0,2,56,45,0,0,26,4,466,152,381,75,0,53,38,0,143,39,0,6,3,17,2,0,0,0,2,63997bc8a486decae386d0ae,SyndicateMMA,USA,5,Syndicate MMA,Nevada,0,135,91,118,0,0
0,0,0,0,34,0,0,0,0,3,0,0,7,0,0,4,0,74,0,72,0,0,0,57,0,0,0,0,0,0,0,0,0,0,20,0,0,42,0,1,2,0,30,17,0,0,62,4,352,140,352,95,1,63,40,0,177,70,2,5,4,39,15,0,0,0,8,63997cc17a128b120fcb9fb7,Tristar,Canada,3,Tristar Gym,Quebec,4,129,124,68,11,19
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,6,4,0,0,0,0,4,2,31,11,0,1,1,0,16,7,0,0,0,2,2,0,0,0,5,639976e9e3b683d319731194,BMFRanch,USA,1,BMF Ranch,New Mexico,0,26,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,33,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,0,1,0,0,0,0,1,0,50,14,29,5,1,12,6,0,9,2,2,4,2,4,0,0,0,0,1,6399772d32076b3b7e5831f5,ChinaTopTeam,China,2,China Top Team,Beijing,1,34,2,7,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,10,6,0,0,11,1,46,2,48,22,0,19,15,0,17,2,0,2,0,3,2,0,0,0,1,6399776fac4ba9527cdf0560,ChuteBoxeDiegoLima,Brazil,1,Chute Boxe Diego Lima,Sao Paulo,0,23,19,21,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997a3468110b46b497edf1,LudwigMartialArts,USA,0,Ludwig Martial Arts,Colorado,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997a53222ceba0db18965a,ManchesterTopTeam,England,0,Manchester Top Team,Stockport,0,0,0,0,0,0
