_id,draw,fighterAge,fighterHeight,fighterLOC,fighterName,fighterReach,fighterURL,loss,weightClass,wins
64445b6cca69df223110e54f,0,N/A,N/A,Uzbekistan,Anvar Boynazarov,N/A,https://www.ufc.com/athlete/anvar-boynazarov,1,Featherweight,0
64445b72ca69df223110e550,0,N/A,N/A,"Denham Springs, United States",Kyle Bradley,N/A,https://www.ufc.com/athlete/kayl-dakas,7,Lightweight,14
64445b7bca69df223110e551,0,N/A,N/A,N/A,Paul Bradley,N/A,https://www.ufc.com/athlete/paul-bradley-0,4,Welterweight,18
64445b82ca69df223110e552,0,30,"5'10""","Philadelphia, United States",Sean Brady,72.00,https://www.ufc.com/athlete/sean-brady,1,Welterweight,15
64445b8bca69df223110e553,0,N/A,N/A,"Rio De Janeiro, Brazil",Ebenezer Braga,N/A,https://www.ufc.com/athlete/kayl-dakas-0,0,Middleweight,0
64445b97ca69df223110e554,0,30,"5'10""","The Bronx, United States",Ramiz Brahimaj,72.00,https://www.ufc.com/athlete/ramiz-brahimaj,4,Welterweight,10
64445b9cca69df223110e555,1,N/A,N/A,"Des Moines, United States",Joe Brammer,N/A,https://www.ufc.com/athlete/joe-brammer,2,Lightweight,7
64445ba4ca69df223110e556,0,N/A,"6'6""","Bronx, United States",David Branch,N/A,https://www.ufc.com/athlete/david-branch,6,Middleweight,22
64445babca69df223110e557,0,N/A,"5'8""",Brazil,Diego Brandao,N/A,https://www.ufc.com/athlete/diego-brandao,11,Featherweight,24
64445bb1ca69df223110e558,1,29,"5'6""","Paranavaí, Brazil",Bruna Brasil,65.50,https://www.ufc.com/athlete/bruna-brasil,3,"Women's Strawweight",8
64445bb7ca69df223110e559,0,N/A,"5'11""","Rosarito, Mexico",Martin Bravo,N/A,https://www.ufc.com/athlete/martin-bravo,3,Featherweight,12
64445bbeca69df223110e55a,0,33,"5'10""","Springfield, United States",Mike Breeden,70.00,https://www.ufc.com/athlete/mike-breeden,5,Lightweight,10
64445bc7ca69df223110e55b,0,31,"6'3""","Birmingham, United Kingdom",Tom Breese,73.50,https://www.ufc.com/athlete/tom-breese,3,Middleweight,12
64445bceca69df223110e55c,0,25,"5'10""","Maués, Brazil",Elves Brener,72.50,https://www.ufc.com/athlete/elves-brener,3,Lightweight,14
64445bd5ca69df223110e55d,1,N/A,N/A,"Compton, United States",Chris Brennan,N/A,https://www.ufc.com/athlete/kris-avila-0,5,Welterweight,11
64445bddca69df223110e55e,0,N/A,"6'0""","Hollidaysburg, United States",Charlie Brenneman,N/A,https://www.ufc.com/athlete/charlie-brenneman,8,Lightweight,19
64445be2ca69df223110e55f,0,N/A,N/A,N/A,Marcos Brigagao,N/A,https://www.ufc.com/athlete/marcos-brigagao,0,Light Heavyweight,0
64445be9ca69df223110e560,1,N/A,"5'11""","Bismarck, United States",Jason Brilz,N/A,https://www.ufc.com/athlete/jason-brilz,5,Light Heavyweight,18
64445bf4ca69df223110e561,0,N/A,"5'11""",United States,Marcus Brimage,N/A,https://www.ufc.com/athlete/marcus-brimage,5,Bantamweight,7
64445bfcca69df223110e562,0,N/A,N/A,United States,Aaron Brink,N/A,https://www.ufc.com/athlete/aaron-brink,3,Heavyweight,8
64445c05ca69df223110e563,1,42,"5'8""","Tijuana, Mexico",Henry Briones,69.00,https://www.ufc.com/athlete/henry-briones,8,Bantamweight,19
64445c11ca69df223110e564,1,28,"5'8""","Santa Helena, Brazil",Joanderson Brito,72.00,https://www.ufc.com/athlete/joanderson-brito,3,Featherweight,14
64445c17ca69df223110e565,0,N/A,N/A,"Norfolk, United States",Antwain Britt,N/A,https://www.ufc.com/athlete/antwain-britt,0,Middleweight,0
64445c1eca69df223110e566,0,N/A,"5'2""","Warsaw, United States",Jarred Brooks,N/A,https://www.ufc.com/athlete/jarred-brooks,2,Flyweight,14
64445c25ca69df223110e567,0,36,"5'10""","Chicago, United States",Will Brooks,72.00,https://www.ufc.com/athlete/will-brooks,4,Lightweight,18
64445c2cca69df223110e568,1,N/A,N/A,"St. Helens, United Kingdom",Rob Broughton,N/A,https://www.ufc.com/athlete/rob-broughton,7,Heavyweight,15
64445c34ca69df223110e569,0,N/A,"5'10""","Portland, United States",Mike Brown,N/A,https://www.ufc.com/athlete/mike-brown,9,Featherweight,26
64445c3cca69df223110e56a,0,42,"6'0""","Xenia, United States",Matt Brown,75.00,https://www.ufc.com/athlete/matt-brown,19,Welterweight,25
64445c46ca69df223110e56b,0,N/A,N/A,"Mishawaka, United States",Todd Brown,N/A,https://www.ufc.com/athlete/todd-brown,3,Light Heavyweight,15
64445c4cca69df223110e56c,0,N/A,"5'11""",Panama,Humberto Brown,N/A,https://www.ufc.com/athlete/humberto-brown,5,Featherweight,4
